Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,BELTED GALLOWAY,F,Birth Application,4
2015,January  ,Scotland,Scotland,Ayr,Non Dairy,BELTED GALLOWAY,F,Birth Application,1
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,BELTED GALLOWAY,M,Birth Application,1
2015,January  ,Scotland,Scotland,Lanark,Non Dairy,BELTED GALLOWAY X,M,Birth Application,3
2015,January  ,Scotland,Scotland,Argyll,Non Dairy,BELTED GALLOWAY X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Wigtown,Non Dairy,BELTED GALLOWAY X,M,Birth Application,2
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,BELTED GALLOWAY X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Kincardine,Non Dairy,BELTED GALLOWAY X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Wigtown,Non Dairy,BELTED GALLOWAY X,F,Birth Application,2
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,BELTED GALLOWAY X,M,Birth Application,2
2015,January  ,Scotland,Scotland,Dumfries,Non Dairy,BELTED GALLOWAY X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Kirkcudbright,Non Dairy,BELTED GALLOWAY X,F,Birth Application,3
2015,January  ,Scotland,Scotland,Kirkcudbright,Non Dairy,BELTED GALLOWAY X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Ayr,Non Dairy,BELTED GALLOWAY X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Lanark,Non Dairy,BELTED GALLOWAY X,F,Birth Application,3
2015,January  ,Scotland,Scotland,Orkney,Non Dairy,BELTED GALLOWAY X,F,Birth Application,2
2015,January  ,Scotland,Scotland,Ayr,Non Dairy,BLONDE D'AQUITAINE,M,Birth Application,1
2015,January  ,Scotland,Scotland,Banff,Non Dairy,BLONDE D'AQUITAINE,F,Birth Application,5
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,BLONDE D'AQUITAINE,F,Birth Application,2
2015,January  ,Scotland,Scotland,Lanark,Non Dairy,BLONDE D'AQUITAINE,F,Birth Application,1
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,BLONDE D'AQUITAINE,M,Birth Application,1
2015,January  ,Scotland,Scotland,Banff,Non Dairy,BLONDE D'AQUITAINE,M,Birth Application,4
2015,January  ,Scotland,Scotland,East Lothian,Non Dairy,BLONDE D'AQUITAINE X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Kincardine,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,6
2015,January  ,Scotland,Scotland,Perth,Non Dairy,BLONDE D'AQUITAINE X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Dunbarton,Non Dairy,BLONDE D'AQUITAINE X,M,Birth Application,1
